,es,ls,rx,a8,a6,3series,5series,7series,xj,sclass,Posts
187,,0.9,,0.0,,,,,,0.2,"[u'option whereas sclass 30k price', u'cr review sclass ls w/sport', u'review sclass ls w/sport euro-sport', u'anywhere difference sclass sclass roughly', u'difference sclass sclass roughly 10k', u""athletic maybe sclass different n't"", u'compare 71k ls ultra get', u""optional feature sclass n't available"", u""n't available ls granted pay"", u'7k difference ls ultra sclass', u'ls ultra sclass justifiable enough', u'would get ls different people', u'value overall ls best class', u'residual 7 a8 etc fyi.i']"
188,,0.0,,0.0,,,,,,,"[u'b/w driving a8 driving ls', u'a8 driving ls four wheel', u'cog etc a8 plush longer', u'rhetorical question a8 v l']"
189,,,,,,,,,,,[]
190,,-0.1,0.0,,,,,,,-0.20000000000000004,"[u""structure/safety cage rx 've already"", u'prior post ls structure studied', u'engineering school ls score equally', u'posted talking ls tested one', u'accountable idea ls would perform', u""seat occupant ls 'll understand"", u'comparison likened ls wearing slippery', u'second yes ls score dead', u'every aspect ls score well', u""n't compare sclass ls compare"", u'compare sclass ls compare euro-sport', u""'ve driven sclass difference not"", u'not huge sclass stripped option', u""n't close ls lexus using"", u'navigation standard sclass since 2003', u'still optional ls not mention', u'not mention sclass athletic lsby']"
191,0.0,0.0,0.0,,,,,,,,"[u'core competence rx es lsthat', u'competence rx es lsthat account', u""discounted think ls 's sale""]"
192,,0.0,,,,,,,0.0,0.0,"[u'last place sclass 6 mercedes-benzsclass', u'79,1452 jaguar xj price tested', u'64,5951 lexus ls price tested']"
193,-0.16666666666666666,0.0,,,,0.0,,0.0,,,"[u'slight resemblance es preceded 5', u'time 7 es camry slab-sided', u'ripoff lincoln ls bangle butt', u'not resembles es also mazda', u'hitchhike onto 3series dominance not', u'lsadvertising going 7series flame coming', u'happen enough 7series market share', u'coming niche ls 17 year', u'20-inch wheel 7series buyer want', u'want nothing ls 146 like']"
194,,,,,,,,,,,['']
195,,0.1875,,,,,,,,,[u'familiar lexus ls especially 16']
196,,0.0,,0.0,,,,,,0.0,"[u'745 xjr a8 sclass ls', u'xjr a8 sclass ls americans', u'a8 sclass ls americans prefer', u'americans prefer ls car must', u'others choose ls']"
197,,0.13636363636363635,,,,,,,,,"[u""new 2007 ls 's car"", u'lease lexus es']"
198,,0.0,,-0.08181818181818185,,,,,,,"[u'probably not ls 40-50k mile', u""reliable 7 a8 matter 's"", u'crap new a8 term reliabilty', u'term reliabilty a8 problem first', u'entire life ls']"
199,,,,,,,,,,,[]
200,,,-0.2916666666666667,0.0,,,,,,,"[u""sell ess rx 's hardly"", u'well not a8 either see']"
201,,-0.025000000000000022,,,0.0,,,0.0,,0.0,"[u""phaeton cheaper sclass 7series n't"", u""cheaper sclass 7series n't intended"", u""car like ls n't benchmark"", u'cheaper rival sclass lesser degree', u'lesser degree 7series cheaper car', u'first generation ls cheap remember', u'look e500 a6 4.2 find', u'much bigger ls far attractive', u'priced base ls rung mere']"
202,,0.5,,0.0,,,,,,0.0,"[u'series think ls better car', u'answer question ls notice not', u'criterion favor ls performance handling', u'car luxurious sclass a8 softer', u'luxurious sclass a8 softer leather']"
203,,,0.0,,0.0,0.33636363636363636,0.8,0.0,,,"[u""'ve '00 3series absolute repect"", u'overhaul excluding rx kill rx400h', u'brand new 3series coupe new', u""happy refreshed 5series '08 keep"", u""inline eclass a6 let 's"", u""forget long-awaited 7series '08 sale""]"
204,0.6178571428571429,0.13636363636363635,,,,,,,,,"[u'see new ls would not', u'could buy ls point 1000', u'car successful es clearly lot', u""'re right es clear leader"", u'dynamic difference es v car']"
205,,,0.33636363636363636,,,,,,,,"[u'ad campaign rx couple year', u'new feature rx yeah saw', u""engineer studying rx n't make"", u'know competes rx lexus really']"
206,,,,,,,,,,,[]
207,,0.4166666666666667,,,,,,,,,"[u'price typical ls would impressed', u'amount took ls conservative would']"
208,,0.0,,0.10714285714285714,,,,,,0.2857142857142857,"[u'right board sclass devauled c-class', u'smart practice a8 a4 different', u'a4 different ls set car']"
209,0.0,0.0,,,,-0.25,-0.5,,,-0.5,"[u'build gs ls es see', u'gs ls es see lexus', u'trying build 3series 5series sclass', u'build 3series 5series sclass past', u'3series 5series sclass past come', u""machine gs es n't conqured""]"
210,0.0,0.0,,,,-0.25,-0.5,,,-0.5,"[u'build gs ls es see', u'gs ls es see lexus', u'trying build 3series 5series sclass', u'build 3series 5series sclass past', u'3series 5series sclass past come', u""machine gs es n't conqured""]"
211,,0.0,,,,,,,,0.0,"[u'difference current ls agree derivative', u'derivative w140 sclass said post', u'like current ls inconsistency liking']"
212,,,,0.375,0.375,,,,,,"[u'share vw a8 unique audi', u""'s chassis a6 unique audia4""]"
213,0.0,,0.0,,,,,0.0,,,"[u'peel even 7series buyer expand', u'suv market rx obliteration mid-size', u'lux market es course lsdid']"
214,,,,,,,,,,,[]
215,,,,,0.325,,,,,,"['', u""'s chassis a6 unique audi"", u'bet audi a6 spun stretched']"
216,,-0.03333333333333333,,,,,0.0625,-0.1,,,"[u'lexus via ls infiniti via', u'example yes 7series may selling', u'selling well 7series remains distant', u'distant third ls looking bigger', u'picture solely 7series sale record', u'sale record 7series cost ls', u'7series cost ls begin secondly', u'fact current 7series surpassed record', u'surpassed record 7series 7series outsell', u'record 7series 7series outsell lsfor', u""n't outsell 5series hit major""]"
217,,,0.8,,,,,,,,[u'suvs like rx make great']
218,,,,,,,,,,,[]
219,0.2,0.6499999999999999,,,,,,,,,"[u'lexi like es lsreally buick', u'much lexus ls certainly good', u'buy gs es even ls', u'es even ls unless need', u'room case ls really would', u'really give es concept reliablity']"
220,,0.375,,,,,,,,0.0,"[u'b/w 75k sclass couple hundred', u'higher 63k ls implying greater', u'proportion lease ls not afford', u'afford lease sclass yet sclass', u'sclass yet sclass sell pitifully', u'sell pitifully ls submit price']"
221,0.0,,,,,,,,,0.0,"[u""never beat sclass comparo 've"", u'number lsbeats sclass match sedan', u'car like es m']"
222,0.0,0.0,,,,,,,,,"[u'anything case ls flattest seat', u'seat possible es scfollow isolationist']"
223,,,,0.0,,,,,,,[u'like 760li a8 w12 world']
224,0.21818181818181825,,,,0.0,0.0,,,,,"[u'maybe twice a6 actually got', u""test like 3series still n't"", u'think new es look bad', u'better looking es one thing']"
225,0.1,0.1,0.35714285714285715,,,0.25,,,,,"[u'swivel headlight rx nothing special', u'word mechanicals rx not utility', u""seen ad es yet 're"", u'old ad ls maybe attempt', u'leftover brilliant.that rx ad not', u'mercedes audi rx ad point', u'configuration minivan rx neither point', u'remember car rx ad q7', u'aim squarely 3series buyer pretty', u'hp fast es possible engineer']"
226,,0.8083333333333333,,,,,,,,1.0,"[u'make profit ls mb make', u'mb make sclass despite 15k', u'particular instance ls good value', u'best spend sclass get best', u""billion original ls think 'd""]"
227,,,,,1.95,,0.0,,,,"[u'lexus interior 5series especially a6', u'5series especially a6 vastly superior', u'prowess 5 a6 better car', u'amazing brilliant a6 interior e430', u'quite dated a6 look sleek']"
228,,0.5,,,-0.4,,,,,,"['', u'le safe ls say implied', u'poor look a6 iihs']"
229,,0.0,,,,,,,,,[u'domestic lexus ls road see']
